Date,Open,High,Low,Close,Adj Close,Volume
1990-04-05,4.156250,4.203125,4.156250,4.171875,1.878920,52000
1990-04-06,4.203125,4.234375,4.187500,4.203125,1.892995,468800
1990-04-09,4.234375,4.328125,4.234375,4.281250,1.928181,252000
1990-04-10,4.312500,4.312500,4.109375,4.140625,1.864846,370400
1990-04-11,4.125000,4.125000,3.953125,3.968750,1.787437,271200
1990-04-12,3.968750,4.046875,3.968750,4.031250,1.815587,92000
1990-04-16,4.031250,4.031250,4.000000,4.031250,1.815587,2392800
1990-04-17,4.000000,4.000000,3.937500,3.937500,1.773363,36800
1990-04-18,3.937500,3.937500,3.859375,3.890625,1.752252,190400
1990-04-19,3.890625,3.937500,3.875000,3.921875,1.766327,355200
1990-04-20,3.953125,4.015625,3.953125,4.000000,1.801513,257600
1990-04-23,3.968750,3.968750,3.781250,3.875000,1.745215,1032800
1990-04-24,3.875000,3.906250,3.812500,3.875000,1.745215,268800
1990-04-25,3.875000,3.953125,3.875000,3.953125,1.780400,42400
1990-04-26,3.921875,3.937500,3.890625,3.890625,1.752252,52800
1990-04-27,3.890625,3.890625,3.812500,3.812500,1.717066,442400
1990-04-30,3.796875,3.796875,3.703125,3.703125,1.667806,684800
1990-05-01,3.703125,3.828125,3.703125,3.750000,1.688918,625600
1990-05-02,3.765625,3.796875,3.750000,3.781250,1.702992,131200
1990-05-03,3.812500,3.843750,3.781250,3.812500,1.717066,469600
1990-05-04,3.843750,3.843750,3.812500,3.812500,1.717066,48800
1990-05-07,3.828125,3.968750,3.828125,3.937500,1.773363,233600
1990-05-08,3.968750,4.078125,3.968750,4.031250,1.815587,250400
1990-05-09,4.000000,4.000000,3.968750,3.984375,1.794475,12800
1990-05-10,4.000000,4.000000,3.984375,3.984375,1.794475,14400
1990-05-11,4.015625,4.156250,4.015625,4.140625,1.864846,136000
1990-05-14,4.109375,4.140625,4.000000,4.000000,1.801513,161600
1990-05-15,3.968750,3.984375,3.906250,3.906250,1.759290,46400
1990-05-16,3.906250,3.921875,3.875000,3.906250,1.759290,422400
1990-05-17,3.906250,3.921875,3.890625,3.921875,1.766327,31200
1990-05-18,3.890625,3.921875,3.890625,3.906250,1.770576,53600
1990-05-21,3.921875,4.031250,3.906250,4.031250,1.827234,156000
1990-05-22,4.046875,4.078125,4.015625,4.015625,1.820152,165600
1990-05-23,4.000000,4.031250,3.984375,4.000000,1.813070,154400
1990-05-24,3.968750,4.015625,3.937500,3.953125,1.791823,432000
1990-05-25,3.937500,3.953125,3.937500,3.937500,1.784740,38400
1990-05-29,3.937500,4.000000,3.937500,3.984375,1.805987,109600
1990-05-30,3.984375,4.000000,3.953125,4.000000,1.813070,28000
1990-05-31,3.968750,4.031250,3.968750,4.000000,1.813070,296800
1990-06-01,4.015625,4.156250,4.015625,4.140625,1.876810,182400
1990-06-04,4.187500,4.281250,4.187500,4.281250,1.940551,318400
1990-06-05,4.343750,4.375000,4.156250,4.156250,1.883893,286400
1990-06-06,4.187500,4.265625,4.187500,4.234375,1.919303,86400
1990-06-07,4.234375,4.250000,4.234375,4.250000,1.926387,127200
1990-06-08,4.265625,4.265625,4.203125,4.203125,1.905139,61600
1990-06-11,4.203125,4.203125,4.156250,4.156250,1.883893,184800
1990-06-12,4.171875,4.218750,4.171875,4.187500,1.898057,32000
1990-06-13,4.187500,4.281250,4.187500,4.187500,1.898057,139200
1990-06-14,4.171875,4.171875,4.171875,4.171875,1.890975,10400
1990-06-15,4.171875,4.171875,4.125000,4.125000,1.869729,76800
1990-06-18,4.078125,4.125000,4.078125,4.125000,1.869729,104000
1990-06-19,4.062500,4.062500,4.031250,4.031250,1.827234,69600
1990-06-20,4.046875,4.046875,3.968750,3.968750,1.798904,254400
1990-06-21,3.968750,3.968750,3.937500,3.937500,1.784740,128000
1990-06-22,3.906250,3.906250,3.843750,3.843750,1.742246,124000
1990-06-25,3.859375,3.921875,3.859375,3.921875,1.777659,84000
1990-06-26,3.953125,3.953125,3.906250,3.921875,1.777659,35200
1990-06-27,3.953125,4.000000,3.937500,3.968750,1.798904,32000
1990-06-28,3.984375,4.000000,3.968750,4.000000,1.813070,396800
1990-06-29,3.968750,4.000000,3.968750,4.000000,1.813070,578400
1990-07-02,3.953125,3.984375,3.953125,3.968750,1.798904,20800
1990-07-03,3.968750,4.062500,3.968750,4.015625,1.820152,85600
1990-07-05,4.015625,4.046875,4.000000,4.046875,1.834317,81600
1990-07-06,4.031250,4.078125,4.031250,4.078125,1.848481,56000
1990-07-09,4.062500,4.093750,4.062500,4.093750,1.855564,61600
1990-07-10,4.078125,4.109375,4.046875,4.046875,1.834317,309600
1990-07-11,4.031250,4.031250,4.000000,4.000000,1.813070,26400
1990-07-12,4.000000,4.000000,3.953125,3.984375,1.805987,80800
1990-07-13,3.953125,4.015625,3.937500,4.000000,1.813070,48800
1990-07-16,4.031250,4.046875,4.031250,4.031250,1.827234,294400
1990-07-17,4.046875,4.062500,3.968750,3.968750,1.798904,527200
1990-07-18,3.921875,3.921875,3.906250,3.906250,1.770576,28000
